商品ID, 表示名, センサー番号, センサーID, 都道府県, データ計測日, 消費電力量(kWh), 発電電力量(kWh), 買電電力量(kWh), 売電電力量(kWh), 自家消費電力量(kWh), 買取方式
'10000000002,スマイル第１発電所,,,大阪府,2014/9/26,16.2267,15.3184,9.9173,9.0091,6.3093,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/9/27,14.8021,19.9794,9.7297,14.9063,5.0731,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/9/28,14.7,18.799,10.3933,14.4924,4.3066,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/9/29,9.5234,18.5875,6.9692,16.0326,2.5549,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/9/30,12.7526,13.2776,8.7718,9.2961,3.9815,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/1,11.4703,12.5146,8.8645,9.9082,2.6064,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/2,15.4471,9.0137,12.0997,5.6661,3.3476,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/3,9.6675,6.2986,7.8316,4.4623,1.8363,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/4,13.5861,9.7318,10.4664,6.6118,3.12,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/5,11.731,2.6961,10.0474,1.0129,1.6832,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/6,10.6089,7.0773,8.7007,5.1685,1.9088,余剰買取
'10000000002,スマイル第１発電所,,,大阪府,2014/10/7,13.7656,18.8847,8.842,13.9604,4.9243,余剰買取
